"genes" "astrocyte"
"Il10ra" 0.146102374663406
"mt-Co2" 214.789506989125
"Ttyh2" 320.271290539425
"Klk8" 3.30817934211476
"AW112010" 151.699381149637
"P2ry6" 0.235404037522491
"Ube2b" 178.232147511376
"Creld2" 118.596782567841
"Psma2" 181.446326790196
"Gm10443" 148.455987749582
"Map1lc3b" 222.074781876113
"Sf3b2" 169.10040416669
"Id1" 329.132697954902
"Rpl21-ps15" 148.795844615469
"Ftl1-ps1" 68.9095167660762
"Rab1a" 130.514585320142
"Psme1" 68.5978846641858
"Abhd3" 303.969372034887
"Eef2" 158.566445650288
"Man2b1" 9.00797741248405
"Prdx5" 113.11831728589
"Gm7964" 146.472215707027
"Wscd1" 319.470764669858
"Aup1" 80.6468440409279
"Sdha" 184.347448834855
"AC149090.1" 31.5435083549127
"Uqcrc1" 198.572645378111
"Uqcc2" 197.078567715129
"Gdi1" 222.704033589504
"Arhgap45" 0.615176624887233
"Tmem261" 170.886532554211
"Itgb2" 0.224724771005631
"Psmd7" 182.785641429337
"Hcfc1r1" 217.50144571323
"Agt" 266.984174572834
"Cd86" 0.185007393440234
"Rbm39" 102.569794604247
